year,death
1978,695821
1979,689664
1980,722801
1981,720262
1982,711883
1983,740038
1984,740247
1985,752283
1986,750620
1987,751172
1988,793014
1989,788594
1990,820305
1991,829797
1992,856643
1993,878532
1994,875933
1995,922139
1996,896211
1997,913402
1998,936484
1999,982031
2000,961653
2001,970331
2002,982379
2003,1014951
2004,1028602
2005,1083796
2006,1084451
2007,1108334
2008,1142407
2009,1141865
2010,1197014
2011,1253068
2012,1256359
2013,1268438
2014,1273025
2015,1290510
2016,1308158
2017,1340567
2018,1362470
2019,1381093
2020,1372755
2021,1439856
2022,1569050
