"時点","地域コード","地域","死亡数【人】","注記"
"1978年","00000","全国","695821",""
"1979年","00000","全国","689664",""
"1980年","00000","全国","722801",""
"1981年","00000","全国","720262",""
"1982年","00000","全国","711883",""
"1983年","00000","全国","740038",""
"1984年","00000","全国","740247",""
"1985年","00000","全国","752283",""
"1986年","00000","全国","750620",""
"1987年","00000","全国","751172",""
"1988年","00000","全国","793014",""
"1989年","00000","全国","788594",""
"1990年","00000","全国","820305",""
"1991年","00000","全国","829797",""
"1992年","00000","全国","856643",""
"1993年","00000","全国","878532",""
"1994年","00000","全国","875933",""
"1995年","00000","全国","922139",""
"1996年","00000","全国","896211",""
"1997年","00000","全国","913402",""
"1998年","00000","全国","936484",""
"1999年","00000","全国","982031",""
"2000年","00000","全国","961653",""
"2001年","00000","全国","970331",""
"2002年","00000","全国","982379",""
"2003年","00000","全国","1014951",""
"2004年","00000","全国","1028602",""
"2005年","00000","全国","1083796",""
"2006年","00000","全国","1084451",""
"2007年","00000","全国","1108334",""
"2008年","00000","全国","1142407",""
"2009年","00000","全国","1141865",""
"2010年","00000","全国","1197014",""
"2011年","00000","全国","1253068",""
"2012年","00000","全国","1256359",""
"2013年","00000","全国","1268438",""
"2014年","00000","全国","1273025",""
"2015年","00000","全国","1290510",""
"2016年","00000","全国","1308158",""
"2017年","00000","全国","1340567",""
"2018年","00000","全国","1362470",""
"2019年","00000","全国","1381093",""
"2020年","00000","全国","1372755",""
"2021年","00000","全国","1439856",""
"2022年","00000","全国","1569050",""
