year,newborn
1978,1708643
1979,1642580
1980,1576889
1981,1529455
1982,1515392
1983,1508687
1984,1489780
1985,1431577
1986,1382946
1987,1346658
1988,1314006
1989,1246802
1990,1221585
1991,1223245
1992,1208989
1993,1188282
1994,1238328
1995,1187064
1996,1206555
1997,1191665
1998,1203147
1999,1177669
2000,1190547
2001,1170662
2002,1153855
2003,1123610
2004,1110721
2005,1062530
2006,1092674
2007,1089818
2008,1091156
2009,1070036
2010,1071305
2011,1050807
2012,1037232
2013,1029817
2014,1003609
2015,1005721
2016,977242
2017,946146
2018,918400
2019,865239
2020,840835
2021,811622
2022,770759
