"時点","地域コード","地域","出生数【人】","注記"
"1978年","00000","全国","1708643",""
"1979年","00000","全国","1642580",""
"1980年","00000","全国","1576889",""
"1981年","00000","全国","1529455",""
"1982年","00000","全国","1515392",""
"1983年","00000","全国","1508687",""
"1984年","00000","全国","1489780",""
"1985年","00000","全国","1431577",""
"1986年","00000","全国","1382946",""
"1987年","00000","全国","1346658",""
"1988年","00000","全国","1314006",""
"1989年","00000","全国","1246802",""
"1990年","00000","全国","1221585",""
"1991年","00000","全国","1223245",""
"1992年","00000","全国","1208989",""
"1993年","00000","全国","1188282",""
"1994年","00000","全国","1238328",""
"1995年","00000","全国","1187064",""
"1996年","00000","全国","1206555",""
"1997年","00000","全国","1191665",""
"1998年","00000","全国","1203147",""
"1999年","00000","全国","1177669",""
"2000年","00000","全国","1190547",""
"2001年","00000","全国","1170662",""
"2002年","00000","全国","1153855",""
"2003年","00000","全国","1123610",""
"2004年","00000","全国","1110721",""
"2005年","00000","全国","1062530",""
"2006年","00000","全国","1092674",""
"2007年","00000","全国","1089818",""
"2008年","00000","全国","1091156",""
"2009年","00000","全国","1070036",""
"2010年","00000","全国","1071305",""
"2011年","00000","全国","1050807",""
"2012年","00000","全国","1037232",""
"2013年","00000","全国","1029817",""
"2014年","00000","全国","1003609",""
"2015年","00000","全国","1005721",""
"2016年","00000","全国","977242",""
"2017年","00000","全国","946146",""
"2018年","00000","全国","918400",""
"2019年","00000","全国","865239",""
"2020年","00000","全国","840835",""
"2021年","00000","全国","811622",""
"2022年","00000","全国","770759",""
