year,total
1920,55963053
1925,59736822
1930,64450005
1935,69254148
1940,73075071
1945,71998104
1950,84114574
1951,84541000
1952,85808000
1953,86981000
1954,88239000
1955,90076594
1956,90172000
1957,90928000
1958,91767000
1959,92641000
1960,94301623
1961,94287000
1962,95181000
1963,96156000
1964,97182000
1965,99209137
1966,99036000
1967,100196000
1968,101331000
1969,102536000
1970,104665171
1971,105145000
1972,107595000
1973,109104000
1974,110573000
1975,111939643
1976,113094000
1977,114165000
1978,115190000
1979,116155000
1980,117060396
1981,117902000
1982,118728000
1983,119536000
1984,120305000
1985,121048923
1986,121660000
1987,122239000
1988,122745000
1989,123205000
1990,123611167
1991,124101000
1992,124567000
1993,124938000
1994,125265000
1995,125570246
1996,125859000
1997,126157000
1998,126472000
1999,126667000
2000,126925843
2001,127316000
2002,127486000
2003,127694000
2004,127787000
2005,127767994
2006,127901000
2007,128033000
2008,128084000
2009,128032000
2010,128057352
2011,127834000
2012,127593000
2013,127414000
2014,127237000
2015,127094745
2016,127042000
2017,126919000
2018,126749000
2019,126555000
2020,126146099
2021,125502000
2022,124947000
2023,124340000
