"時点","地域コード","地域","日本人人口（総数）【人】","注記"
"1995年10月","00000","全国","124298947","総務省統計局「国勢調査」による。"
"1995年11月","00000","全国","124468000",""
"1995年12月","00000","全国","124500000",""
"1996年1月","00000","全国","124409000",""
"1996年2月","00000","全国","124494000",""
"1996年3月","00000","全国","124460000",""
"1996年4月","00000","全国","124508000",""
"1996年5月","00000","全国","124492000",""
"1996年6月","00000","全国","124572000",""
"1996年7月","00000","全国","124614000",""
"1996年8月","00000","全国","124543000",""
"1996年9月","00000","全国","124601000",""
"1996年10月","00000","全国","124708000",""
"1996年11月","00000","全国","124731000",""
"1996年12月","00000","全国","124776000",""
"1997年1月","00000","全国","124641000",""
"1997年2月","00000","全国","124759000",""
"1997年3月","00000","全国","124708000",""
"1997年4月","00000","全国","124790000",""
"1997年5月","00000","全国","124797000",""
"1997年6月","00000","全国","124832000",""
"1997年7月","00000","全国","124879000",""
"1997年8月","00000","全国","124819000",""
"1997年9月","00000","全国","124885000",""
"1997年10月","00000","全国","124961000",""
"1997年11月","00000","全国","124988000",""
"1997年12月","00000","全国","125051000",""
"1998年1月","00000","全国","124950000",""
"1998年2月","00000","全国","125116000",""
"1998年3月","00000","全国","125012000",""
"1998年4月","00000","全国","125079000",""
"1998年5月","00000","全国","125091000",""
"1998年6月","00000","全国","125142000",""
"1998年7月","00000","全国","125185000",""
"1998年8月","00000","全国","125121000",""
"1998年9月","00000","全国","125186000",""
"1998年10月","00000","全国","125248000",""
"1998年11月","00000","全国","125272000",""
"1998年12月","00000","全国","125332000",""
"1999年1月","00000","全国","125260000",""
"1999年2月","00000","全国","125340000",""
"1999年3月","00000","全国","125261000",""
"1999年4月","00000","全国","125324000",""
"1999年5月","00000","全国","125256000",""
"1999年6月","00000","全国","125378000",""
"1999年7月","00000","全国","125397000",""
"1999年8月","00000","全国","125328000",""
"1999年9月","00000","全国","125384000",""
"1999年10月","00000","全国","125427000",""
"1999年11月","00000","全国","125484000",""
"1999年12月","00000","全国","125517000",""
"2000年1月","00000","全国","125556000",""
"2000年2月","00000","全国","125550000",""
"2000年3月","00000","全国","125467000",""
"2000年4月","00000","全国","125510000",""
"2000年5月","00000","全国","125476000",""
"2000年6月","00000","全国","125535000",""
"2000年7月","00000","全国","125554000",""
"2000年8月","00000","全国","125504000",""
"2000年9月","00000","全国","125546000",""
"2000年10月","00000","全国","125386737","総務省統計局「国勢調査」による。"
"2000年11月","00000","全国","125669000",""
"2000年12月","00000","全国","125689000",""
"2001年1月","00000","全国","125643000",""
"2001年2月","00000","全国","125727000",""
"2001年3月","00000","全国","125651000",""
"2001年4月","00000","全国","125722000",""
"2001年5月","00000","全国","125665000",""
"2001年6月","00000","全国","125751000",""
"2001年7月","00000","全国","125781000",""
"2001年8月","00000","全国","125730000",""
"2001年9月","00000","全国","125766000",""
